@id,name,highway,place,highway_valid,name_type
5158703,Дубровицька вулиця,residential,,,вулиця
5158709,Автозаводський провулок,residential,,,провулок
5158713,вулиця Красицького,residential,,,вулиця
5158715,вулиця Байди-Вишневецького,residential,,,вулиця
5158724,Мукачівська вулиця,residential,,,вулиця
5158727,Сокальська вулиця,residential,,,вулиця
5169470,Коноплянська вулиця,residential,,,вулиця
5169471,Шахтарська вулиця,residential,,,вулиця
5169472,Вербова вулиця,secondary,,,вулиця
5169475,вулиця Аманда Струве,residential,,,вулиця
5169477,Куренівська вулиця,residential,,,вулиця
5169479,Копилівська вулиця,residential,,,вулиця
5169481,Подільський узвіз,tertiary,,,узвіз
5169482,Загорівська вулиця,service,,,вулиця
5169483,Овруцька вулиця,tertiary,,,вулиця
5169492,Печенізька вулиця,residential,,,вулиця
5169499,Лукʼянівська вулиця,residential,,,вулиця
5169501,вулиця Шолуденка,residential,,,вулиця
5169509,Мокра вулиця,residential,,,вулиця
5169514,Соломʼянська площа,secondary,,,площа
5169516,вулиця Митрополита Василя Липківського,secondary,,,вулиця
5169517,вулиця Генерала Шаповала,tertiary,,,вулиця
5169519,вулиця Авіаконструктора Антонова,residential,,,вулиця
5169521,проспект Валерія Лобановського,primary,,,проспект
5169523,Чоколівський бульвар,primary,,,бульвар
5169525,Севастопольська площа,primary,,,площа
5169531,вулиця Августина Волошина,residential,,,вулиця
5169532,Відрадний проспект,secondary,,,проспект
5169534,вулиця Героїв Севастополя,residential,,,вулиця
5169537,вулиця Андрія Мельника,residential,,,вулиця
5169538,Смілянська вулиця,tertiary,,,вулиця
5169542,вулиця Федора Ернста,tertiary,,,вулиця
5169543,вулиця Івана Пулюя,residential,,,вулиця
5169547,вулиця Кадетський Гай,residential,,,вулиця
5169549,вулиця Академіка Білецького,residential,,,вулиця
5169552,Авторемонтна вулиця,unclassified,,,вулиця
5169553,вулиця Академіка Шалімова,tertiary,,,вулиця
5169555,Козелецька вулиця,unclassified,,,вулиця
5169569,вулиця Миколи Шпака,residential,,,вулиця
5169571,вулиця Петра Нестерова,tertiary,,,вулиця
5169577,Оранжерейна вулиця,residential,,,вулиця
5169584,Корабельна вулиця,residential,,,вулиця
5169587,Вокзальна площа,secondary,,,площа
5169588,Січеславська вулиця,tertiary,,,вулиця
5169589,вулиця Георгія Кірпи,tertiary,,,вулиця
5169592,вулиця Івана Огієнка,tertiary,,,вулиця
5169593,Політехнічний провулок,tertiary,,,провулок
5169596,вулиця Сімʼї Шовкоплясів,residential,,,вулиця
5169597,Лебединська вулиця,unclassified,,,вулиця
5169598,вулиця Гетьмана Данила Апостола,unclassified,,,вулиця
5169622,Озерна вулиця,tertiary,,,вулиця
5169643,вулиця Петра Калнишевського,residential,,,вулиця
5169645,Литовський проспект,primary,,,проспект
5169653,вулиця Івана Виговського,secondary,,,вулиця
5169655,проспект Європейського Союзу,secondary,,,проспект
5169657,проспект Георгія Гонгадзе,tertiary,,,проспект
5169672,Полкова вулиця,residential,,,вулиця
5169673,Полковий провулок,residential,,,провулок
5169675,Салютна вулиця,tertiary,,,вулиця
5169676,Естонська вулиця,tertiary,,,вулиця
5169678,вулиця Стеценка,secondary,,,вулиця
5180041,Добринінська вулиця,residential,,,вулиця
5180055,вулиця Академіка Навашина,living_street,,False,вулиця
5180058,Братиславська вулиця,tertiary,,,вулиця
5180268,вулиця Анни Ахматової,secondary,,,вулиця
5180270,Тростянецька вулиця,secondary,,,вулиця
5180282,вулиця Архітектора Вербицького,tertiary,,,вулиця
5180284,вулиця Братства тарасівців,tertiary,,,вулиця
5180286,вулиця Братства Тарасівців,tertiary,,,вулиця
5180305,вулиця Михайла Гришка,residential,,,вулиця
5180307,проспект Миколи Бажана,residential,,,проспект
5180308,вулиця Олександра Мишуги,residential,,,вулиця
5180312,вулиця Лариси Руденко,residential,,,вулиця
5180313,вулиця Бориса Гмирі,residential,,,вулиця
5180327,Срібнокільська вулиця,residential,,,вулиця
5180328,вулиця Княжий Затон,residential,,,вулиця
5180335,Вишняківська вулиця,residential,,,вулиця
5180341,Клеманська вулиця,unclassified,,,вулиця
5180343,Дніпровська набережна,construction,,False,набережна
5180363,вулиця Юрія Шумського,tertiary,,,вулиця
5180369,проспект Павла Тичини,tertiary,,,проспект
5180373,бульвар Амвросія Бучми,residential,,,бульвар
5180374,вулиця Івана Миколайчука,residential,,,вулиця
5180380,Русанівська набережна,secondary,,,набережна
5180394,вулиця Євгена Сверстюка,secondary,,,вулиця
5180395,вулиця Бориса Мартоса,secondary,,,вулиця
5180400,Броварський проспект,trunk,,,проспект
5180409,вулиця Ентузіастів,tertiary,,,вулиця
5180422,Березняківська вулиця,tertiary,,,вулиця
5180431,вулиця Князя Романа Мстиславича,tertiary,,,вулиця
5180434,бульвар Верховної Ради,tertiary,,,бульвар
5180439,Дарницька площа,trunk_link,,False,площа
5180443,Празька вулиця,tertiary,,,вулиця
5180445,вулиця Володимира Сосюри,residential,,,вулиця
5180451,вулиця Гетьмана Павла Полуботка,residential,,,вулиця
5180452,вулиця Вінстона Черчилля,tertiary,,,вулиця
5180462,Бориспільська вулиця,secondary,,,вулиця
5180465,вулиця Дениса Антіпова,tertiary,,,вулиця
5180696,вулиця Юрія Литвинського,residential,,,вулиця
5180697,вулиця Михайла Кравчука,residential,,,вулиця
5180703,проспект Соборності,trunk,,,проспект
5180706,Харківське шосе,primary,,,шосе
5180707,проспект Леоніда Каденюка,trunk,,,проспект
5180751,Зарічна вулиця,residential,,,вулиця
5180764,проспект Петра Григоренка,secondary,,,проспект
5184604,вулиця Щусєва,secondary,,,вулиця
5184640,Гарматна вулиця,tertiary,,,вулиця
5211923,вулиця Івана Дзюби,secondary,,,вулиця
5211924,вулиця Родини Бунґе,residential,,,вулиця
5211928,вулиця Олександра Махова,tertiary,,,вулиця
5211930,вулиця Вахтанга Кікабідзе,tertiary,,,вулиця
5211931,вулиця Симиренка,tertiary,,,вулиця
5211933,вулиця Миколи Трублаїні,secondary,,,вулиця
5217579,провулок Будівельників,residential,,,провулок
5217580,Синьоозерна вулиця,residential,,,вулиця
5217582,Газопровідна вулиця,secondary,,,вулиця
5218363,вулиця Михайла Гориня,residential,,,вулиця
5218366,вулиця Ганни Барвінок,residential,,,вулиця
5218398,вулиця Петра Вершигори,secondary,,,вулиця
5218424,вулиця Героїв Енергетиків,residential,,,вулиця
5218478,Пухівська вулиця,tertiary,,,вулиця
5218571,Мостищанська вулиця,residential,,,вулиця
6131091,вулиця Флоренції,residential,,,вулиця
6131203,вулиця Ованеса Туманяна,residential,,,вулиця
6131698,бульвар Ігоря Шамо,residential,,,бульвар
6163758,вулиця Раїси Окіпної,secondary,,,вулиця
7705441,Русанівський бульвар,residential,,,бульвар
7706197,провулок Дзиґи Вертова,residential,,,провулок
7706489,Микільсько-Слобідська вулиця,tertiary,,,вулиця
8069318,вулиця Митрополита Андрея Шептицького,secondary,,,вулиця
8069334,вулиця Євгена Маланюка,residential,,,вулиця
8069366,вулиця Андрія Аболмасова,residential,,,вулиця
8069368,вулиця Пантелеймона Куліша,secondary,,,вулиця
8069396,вулиця Всеволода Нестайка,tertiary,,,вулиця
8082808,Бориспільське шосе,trunk_link,,False,шосе
8139662,Шовковична вулиця,tertiary,,,вулиця
8140226,вулиця Новонаводницька,secondary,,,вулиця
8140718,Андріївський узвіз,pedestrian,,,узвіз
8141041,Костянтинівська вулиця,secondary,,,вулиця
8141051,провулок Хорива,residential,,,провулок
8142108,вулиця Євгена Чикаленка,residential,,,вулиця
8142118,вулиця Нижній Вал,secondary,,,вулиця
8142126,Кловський узвіз,tertiary,,,узвіз
8142131,вулиця Шота Руставелі,secondary,,,вулиця
8142136,вулиця Антоновича,tertiary,,,вулиця
8142245,Велика Васильківська вулиця,primary,,,вулиця
8142324,вулиця Ярославів Вал,tertiary,,,вулиця
8145386,Крайня вулиця,tertiary,,,вулиця
8160898,Воскресенський проспект,primary,,,проспект
8160950,Крутий узвіз,residential,,,узвіз
8160978,провулок Ґарета Джонса,unclassified,,,провулок
8160988,Межигірська вулиця,tertiary,,,вулиця
8160996,вулиця Григорія Сковороди,residential,,,вулиця
8160998,Житньоторзька вулиця,residential,,,вулиця
8161009,Кирилівська вулиця,secondary,,,вулиця
8161042,Нагірна вулиця,residential,,,вулиця
8161043,вулиця Князя Володимира Мономаха,residential,,,вулиця
8161046,Стадіонна вулиця,residential,,,вулиця
8161054,Єреванська вулиця,residential,,,вулиця
8161055,вулиця Максима Кривоноса,tertiary,,,вулиця
8161057,Преображенська вулиця,residential,,,вулиця
8161063,вулиця Тетяни Яблонської,residential,,,вулиця
8161090,площа Валерія Марченка,secondary,,,площа
8161093,вулиця Данила Щербаківського,secondary,,,вулиця
8161095,Сирецька вулиця,residential,,,вулиця
8161102,Охтирський провулок,secondary,,,провулок
8161262,вулиця Будівельників,secondary,,,вулиця
8161264,Пластова вулиця,residential,,,вулиця
8161267,вулиця Павла Усенка,residential,,,вулиця
8161273,вулиця Гната Хоткевича,tertiary,,,вулиця
8161309,вулиця Остафія Дашкевича,tertiary,,,вулиця
8161738,вулиця Оборони Києва,secondary,,,вулиця
8385806,площа Українських Героїв,secondary,,,площа
8385841,Рибальський міст,footway,,False,міст
8386504,Вереснева вулиця,residential,,,вулиця
8386527,Деревообробний провулок,service,,,провулок
8386531,вулиця Баренбойма,unclassified,,,вулиця
8387149,Колекторна вулиця,unclassified,,,вулиця
8387152,Світла вулиця,secondary,,,вулиця
8387155,Старобориспільська вулиця,secondary,,,вулиця
8388546,Дніпровська вулиця,residential,,,вулиця
8388559,Табірна вулиця,primary_link,,,вулиця
8388569,вулиця Черняховського,residential,,,вулиця
8388578,Індустріальний провулок,primary_link,,,провулок
8388586,Уманська вулиця,tertiary,,,вулиця
8388635,Промислова вулиця,unclassified,,,вулиця
8388912,вулиця Архітектора Ніколаєва,residential,,,вулиця
8389133,Очаківська вулиця,residential,,,вулиця
8389135,вулиця Левка Мацієвича,residential,,,вулиця
8389150,вулиця Василя Жуковського,unclassified,,,вулиця
8389153,Маричанська вулиця,residential,,,вулиця
8389156,Васильківська вулиця,secondary,,,вулиця
8389158,вулиця Академіка Книшова,unclassified,,,вулиця
8389162,Сумська вулиця,tertiary,,,вулиця
8389174,вулиця Павла Потоцького,residential,,,вулиця
8389183,Планетарна вулиця,residential,,,вулиця
8389192,Смерекова вулиця,residential,,,вулиця
8389203,Повітрофлотська вулиця,residential,,,вулиця
8389224,вулиця Українських Повстанців,tertiary,,,вулиця
8389226,провулок Шевченка,residential,,,провулок
8389236,вулиця Шевченка,primary,,,вулиця
8389263,проїзд,service,,,проїзд
8389266,вулиця Ґолди Меїр,residential,,,вулиця
8389269,Вовчогірська вулиця,residential,,,вулиця
8389283,вулиця Юрія Кондратюка,residential,,,вулиця
8392579,Наводницька площа,secondary,,,площа
8393346,Нижньоюрківський провулок,service,,,провулок
8398085,Банкова вулиця,residential,,,вулиця
8398100,Літня вулиця,residential,,,вулиця
9451696,міст Патона,trunk,,,міст
14397589,Покровський провулок,service,,,провулок
14456906,вулиця Сергія Берегового,residential,,,вулиця
15245344,Козацька вулиця,residential,,,вулиця
15401635,Камінь-Каширський провулок,residential,,,провулок
15401741,вулиця Карпатської Січі,residential,,,вулиця
22674985,вулиця Дмитра Багалія,residential,,,вулиця
22674999,вулиця Тампере,residential,,,вулиця
22941193,вулиця Леонтовича,residential,,,вулиця
23054187,Жилянська вулиця,primary,,,вулиця
23054260,Тарасівська вулиця,secondary,,,вулиця
23054399,вулиця Ковпака,residential,,,вулиця
23057069,Кільцева дорога,trunk,,,дорога
23062446,Загородня вулиця,secondary,,,вулиця
23063766,вулиця Олександра Бринжали,residential,,,вулиця
23063793,бульвар Павла Вірського,tertiary,,,бульвар
23063807,Ружинська вулиця,tertiary,,,вулиця
23067153,Бастіонна вулиця,secondary,,,вулиця
23067317,площа Лесі Українки,secondary,,,площа
23072581,Володимиро-Либідська вулиця,residential,,,вулиця
23072600,Байкова вулиця,secondary,,,вулиця
23087181,вулиця Вʼячеслава Чорновола,primary,,,вулиця
23087188,Борщагівська вулиця,primary_link,,,вулиця
23110291,Фанерна вулиця,residential,,,вулиця
