category,official_name,tag_type,slang_variations
logistics,Нова Пошта,PROVIDER,нп|нова пошта|нова|новапошта|відділення нової пошти
logistics,Укрпошта,PROVIDER,укрпошта|уп|пошта|головпоштамт|укр пошта
logistics,Rozetka,PROVIDER,розетка|точка видачі розетка|пункт видачі розетка
logistics,Justin,PROVIDER,джастін|джустін|поштомат джастін
